configuration_id,base_policy_id,record_type,operational_status,evidence_tier,classification_status,behavior_cluster_id,markets,sessions,timeframes,mechanisms,normal_passes_all_horizons,stressed_passes_all_horizons,confirmation_status,xfa_profile_id,xfa_standard_paths,xfa_standard_first_payouts,xfa_consistency_paths,xfa_consistency_first_payouts,next_evidence_action
autonomous_marginal_book_2f3752128ff0fd44a71b2327,autonomous_marginal_book_2f3752128ff0fd44a71b2327,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_4202306a5c17e712,ES|YM,0|1,1m|5m,EXHAUSTION_REVERSAL|MULTI_TIMEFRAME_ALIGNMENT,5,5,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,5,1,5,1,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
autonomous_marginal_book_74271a65d77ce0c7fe144170,autonomous_marginal_book_74271a65d77ce0c7fe144170,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_c5ac0c9b925c5573,NQ,1,1m|60m,CROSS_ASSET_STATE|EXHAUSTION_REVERSAL,2,2,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,2,0,2,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
autonomous_marginal_book_b09b8e7b30f90b34737eb724,autonomous_marginal_book_b09b8e7b30f90b34737eb724,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_3a3d75293d3ab049,ES|YM,1,1m,CROSS_ASSET_STATE|MULTI_TIMEFRAME_ALIGNMENT,7,6,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
autonomous_marginal_book_bc8188389b6938ed6a9dd36f,autonomous_marginal_book_bc8188389b6938ed6a9dd36f,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_c9534a557977701b,ES|YM,0|1,1m|5m,EXHAUSTION_REVERSAL|MULTI_TIMEFRAME_ALIGNMENT,5,5,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,5,1,5,1,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_0071eb35a8bbbda33b5ddf5c,hazard_0071eb35a8bbbda33b5ddf5c,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_860873905d675d35,NQ,2,60m,DISPLACEMENT_ACCELERATION,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_00ff6280ec48f734979b160c,hazard_00ff6280ec48f734979b160c,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_b64af02479dd980f,NQ,0,5m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_01340d634a288f435a06760c,hazard_01340d634a288f435a06760c,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_dc5d7dd88c81b5de,YM,1,15m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_01ab61608a2c63ef623d85fb,hazard_01ab61608a2c63ef623d85fb,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_a1bdfbe6a26a8ef0,NQ,0,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_020ae195ccef8e39b1907e38,hazard_020ae195ccef8e39b1907e38,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_b189f77f698a9b1d,YM,0,15m,CROSS_ASSET_STATE,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_02b0e90fc637dfb927864676,hazard_02b0e90fc637dfb927864676,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_d7960ff0289a156e,NQ,0,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_03bc777e62c6335af8780028,hazard_03bc777e62c6335af8780028,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_25b64249331b33e0,NQ,1,5m,RANGE_BREAKOUT_WITH_ROOM,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,1,1,1,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_046450fc80a784fe4d68419e,hazard_046450fc80a784fe4d68419e,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_84c96355e0d8a4a1,NQ,1,5m,RANGE_BREAKOUT_WITH_ROOM,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_064a532200b3609167f71b95,hazard_064a532200b3609167f71b95,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_85a6c73381e5769c,NQ,0,1m,FAILED_CONTINUATION_REVERSAL,8,6,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_07a39a76d6fa0d1c604a5ad9,hazard_07a39a76d6fa0d1c604a5ad9,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_e2b2964d4f6c12c3,NQ,-1,30m,EXHAUSTION_REVERSAL,3,3,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_09ee35bc24190bb213469e6a,hazard_09ee35bc24190bb213469e6a,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_706b9fec6a2f650b,NQ,1,1m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_09ee35bc24190bb213469e6a::pnl_state_fast_ladder,hazard_09ee35bc24190bb213469e6a,DYNAMIC_ACCOUNT_POLICY_VARIANT,ACTIVE_DEVELOPMENT_DIAGNOSTIC,E,DYNAMIC_SIZING_DEVELOPMENT_SURVIVOR,exact_account_path_2f204963f35b2771,NQ,1,1m,CROSS_ASSET_STATE,3,3,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_fast_ladder,3,1,3,1,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_0a569f580a2540474116636c,hazard_0a569f580a2540474116636c,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_f9c9d75dccc3efb2,YM,1,1m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_0c503c8ed692e7a3b49684f2,hazard_0c503c8ed692e7a3b49684f2,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_05ee25b8348cb02d,NQ,1,15m,CROSS_ASSET_STATE,2,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_0df449d78eadc5bce054eb2c,hazard_0df449d78eadc5bce054eb2c,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_5a779bee7060bcb0,NQ,1,1m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,2,1,2,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_0e4181808737ad6e9c8593ed,hazard_0e4181808737ad6e9c8593ed,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_7a7f63f1cf8b7024,NQ,2,5m,RANGE_BREAKOUT_WITH_ROOM,3,3,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,3,0,3,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_0f37a9a84480ef17a53b307c,hazard_0f37a9a84480ef17a53b307c,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_586124e5949d8353,NQ,-1,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_100799b7571485dbef66dd71,hazard_100799b7571485dbef66dd71,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_78ec58473911b8c2,CL,1,1m,PARTICIPATION_DENSITY,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,2,0,2,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_10ffb41856432af08259e32b,hazard_10ffb41856432af08259e32b,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_0b56e573ae1340dc,CL,1,15m,PARTICIPATION_DENSITY,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_10ffb41856432af08259e32b::pnl_state_fast_ladder,hazard_10ffb41856432af08259e32b,DYNAMIC_ACCOUNT_POLICY_VARIANT,ACTIVE_DEVELOPMENT_DIAGNOSTIC,E,DYNAMIC_SIZING_DEVELOPMENT_SURVIVOR,exact_account_path_70633c0c9d47888a,CL,1,15m,PARTICIPATION_DENSITY,2,2,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_fast_ladder,2,0,2,1,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_11d0fa817a785d264adb2e96,hazard_11d0fa817a785d264adb2e96,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_5d1b7dd544bdfb7a,NQ,-1,60m,EXHAUSTION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_12dfc0e00f149978b5f73fa8,hazard_12dfc0e00f149978b5f73fa8,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_2683a3cf59657e76,NQ,0,5m,CROSS_ASSET_STATE,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_142801996c93954cbd7e75b9,hazard_142801996c93954cbd7e75b9,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_88201b1cdc6a85d9,NQ,0,1m,MULTI_TIMEFRAME_ALIGNMENT,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,2,0,2,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_16a744e747cafb88a7e2c83b,hazard_16a744e747cafb88a7e2c83b,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_6a634297148847dd,NQ,1,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_16f0da561bc98f2eb7d2efc4,hazard_16f0da561bc98f2eb7d2efc4,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_866445f641ba4d26,ES,1,1m,MULTI_TIMEFRAME_ALIGNMENT,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,1,1,1,1,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_187b1bace916c254bb483d6d,hazard_187b1bace916c254bb483d6d,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_2ac172fe39cca4df,NQ,1,60m,EXHAUSTION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,1,0,1,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_19327ab34a21d623c654a6cc,hazard_19327ab34a21d623c654a6cc,BASE_POLICY,ACTIVE_RESEARCH_BANK,G,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_a793fbd86ab4dc8c,YM,0,15m,CROSS_ASSET_STATE,4,4,OVERFIT_CONFIRMATION_FAILURE_BRANCH_CLOSED,pnl_state_identity,9,7,9,6,PRESERVE_DEVELOPMENT_ARTIFACT_CONFIRMATION_BRANCH_CLOSED
hazard_19fcd731bc3c7bc1335f2689,hazard_19fcd731bc3c7bc1335f2689,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_c2f1a94d78740be1,NQ,1,5m,CROSS_ASSET_STATE,4,4,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_1ae8845c3e28112e694b0c08,hazard_1ae8845c3e28112e694b0c08,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_0b7b701bb8205a52,NQ,0,1m,FAILED_CONTINUATION_REVERSAL,3,3,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_1e9edf5fc1f461e7ed70003f,hazard_1e9edf5fc1f461e7ed70003f,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_f63024f9099f6b47,NQ,1,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_1f15364ad9c148e7d3258a79,hazard_1f15364ad9c148e7d3258a79,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_e78f32c56d3411ef,RTY,1,5m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_1f3ff3e1f6d2b9d5e8eec1b3,hazard_1f3ff3e1f6d2b9d5e8eec1b3,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_b7991904546aba1c,NQ,0,60m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_1f49e74c20f7bad315dd5cee,hazard_1f49e74c20f7bad315dd5cee,BASE_POLICY,ACTIVE_RESEARCH_BANK,G,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_3b12c13f205458a4,YM,0,5m,EXHAUSTION_REVERSAL,2,2,G_CONFIRMATION_FAILED_NO_SECOND_REPLICATION_SELECTED,pnl_state_identity,3,1,3,1,PRESERVE_DEVELOPMENT_ARTIFACT_CONFIRMATION_BRANCH_CLOSED
hazard_207180dadb3a6283f951dce7,hazard_207180dadb3a6283f951dce7,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_ff61be461558d296,NQ,1,60m,EXHAUSTION_REVERSAL,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_238fccaaba76a9c39a65555f,hazard_238fccaaba76a9c39a65555f,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_b6979511ec3620dd,CL,-1,15m,DISPLACEMENT_ACCELERATION,2,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,3,0,3,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_23cf467f9b8d33256da1ed74,hazard_23cf467f9b8d33256da1ed74,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_bfcedfd0a0c6e698,YM,0,15m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,2,2,2,2,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_2641d5adb7bfee8dca07de2a,hazard_2641d5adb7bfee8dca07de2a,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_272671761ba0cb32,RTY,0,1m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,2,2,2,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_294627b596f6b477df6de5ac,hazard_294627b596f6b477df6de5ac,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_7aaf8e1ce8d2c851,NQ,1,5m,DIRECTIONAL_PRESSURE_RELEASE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_294627b596f6b477df6de5ac::pnl_state_fast_ladder,hazard_294627b596f6b477df6de5ac,DYNAMIC_ACCOUNT_POLICY_VARIANT,ACTIVE_DEVELOPMENT_DIAGNOSTIC,E,DYNAMIC_SIZING_DEVELOPMENT_SURVIVOR,exact_account_path_f33503156fbf04c4,NQ,1,5m,DIRECTIONAL_PRESSURE_RELEASE,6,7,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_fast_ladder,6,3,6,3,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_2a34338b0805cd6e21bd2a00,hazard_2a34338b0805cd6e21bd2a00,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_7090f21a236b008c,NQ,0,5m,DIRECTIONAL_PRESSURE_RELEASE,1,1,NOT_INDEPENDENTLY_CONFIRMED,pnl_state_identity,1,0,1,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_2afe13b4c912d4aa7f238626,hazard_2afe13b4c912d4aa7f238626,BASE_POLICY,QUARANTINED_EXACT_POLICY_CELL,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_3a2660535d6b619e,NQ,0,60m,EXHAUSTION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,DO_NOT_REUSE_EXACT_QUARANTINED_CELL_NEW_FINGERPRINT_REQUIRED
hazard_2b1b2c3d2ee1ce536b2cc36e,hazard_2b1b2c3d2ee1ce536b2cc36e,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_506470bcf245df53,NQ,-1,1m,FAILED_CONTINUATION_REVERSAL,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_2e478e1906a01e59198ba1e8,hazard_2e478e1906a01e59198ba1e8,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_c0164eca5b0eda91,NQ,0,5m,FAILED_CONTINUATION_REVERSAL,4,4,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_2ec7acdd03a8af7d4d0f06a8,hazard_2ec7acdd03a8af7d4d0f06a8,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_0a8d73a9e1edacf4,ES,0,30m,FAILED_CONTINUATION_REVERSAL,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_324b4ea1349b603c4651a7fb,hazard_324b4ea1349b603c4651a7fb,BASE_POLICY,ACTIVE_RESEARCH_BANK,Q,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_25527fa0f060bd91,YM,0,1m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,BLOCK_DIVERSE_GRADUATION_WITHOUT_RETUNE
hazard_367100adab5fe2a69a4f3257,hazard_367100adab5fe2a69a4f3257,BASE_POLICY,ACTIVE_RESEARCH_BANK,G,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_9346e085b2597cb6,YM,0,5m,EXHAUSTION_REVERSAL,2,2,G_CONFIRMATION_FAILED_NO_SECOND_REPLICATION_SELECTED,,0,0,0,0,PRESERVE_DEVELOPMENT_ARTIFACT_CONFIRMATION_BRANCH_CLOSED
hazard_374a4e4758a31f0739e84a39,hazard_374a4e4758a31f0739e84a39,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_db876d2243bf2a10,NQ,-1,5m,FAILED_CONTINUATION_REVERSAL,3,3,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_38beeb99759ee9956853aa95,hazard_38beeb99759ee9956853aa95,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_770a913f9cd2dc21,NQ,0,5m,CROSS_ASSET_STATE,1,1,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
hazard_38fcdae5dfc051c8678ed9b9,hazard_38fcdae5dfc051c8678ed9b9,BASE_POLICY,ACTIVE_RESEARCH_BANK,E,COMBINE_PASS_OBSERVED_DEVELOPMENT,exact_account_path_6c02c5f50e5616ba,NQ,1,5m,CROSS_ASSET_STATE,2,2,NOT_INDEPENDENTLY_CONFIRMED,,0,0,0,0,QUALIFICATION_REPLAY_WITHOUT_STATUS_INHERITANCE
